sterling,japonais,suisse,euro,americain,pib,rnb,pibhab,rnbhab,inflation,epargne_nationale
0.3691,21.7569,0.6511,26.9499,28.1001,1.32256361779679,1.33644000227574,0.300909071783437,0.314645538056823,2.28509587675569,5,437369215
0.3134,22.4162,0.5538,32.8285,22.9689,4.70241181486099,5.0192211267731,3.73517170490236,4.04905433472211,2.68441031316364,5,649755904

0.254,17.3566,0.4851,40.1014,20.3053,3.48653581548528,2.3114877915372,2.48974656832446,1.32601668567793,4.1755776414588,5,891891398

0.0889,19.5315,0.2945,48.4322,12.9158,4.23777683573512,3.69973077618045,3.19024212869475,2.65760314840134,6.34636174662622,7,32736414

0.0775,18.4384,0.2541,48.995,12.6023,3.04344895484181,4.19313093203569,1.95079120940129,3.08828212612585,3.03311211705064,7,648402793

0.0568,17.9814,0.2338,48.9553,12.3818,3.5106086386031,3.57823662104906,2.45558968280957,2.52252837548745,3.81541450512294,6,76372564

0.0384,17.2884,0.1831,44.3864,15.396,-1.91717771660325,-2.24667779538521,-3.08143914021119,-3.40702799150324,4.27931074091315,-0,122088614

0.0244,15.366,0.1312,44.6499,16.5375,3.99766619874057,4.48902570079377,2.99701131729226,3.48364300859498,4.8965235902122,-0,288073817

0.018,14.0327,0.113,45.9116,16.2495,2.99565704807499,2.86126779068204,1.96442326143647,1.83137956313557,3.71134872096228,-2,692892756

0.012,11.9843,0.0891,44.8499,20.6849,2.86812367021876,..,1.8381889252893,..,4.53926862214402,-3,808006787

0.0067,11.4598,0.0659,42.9916,24.404,0.9946425233517,..,-0.0164131536137262,..,3.37977877206093,..
