Year,TradeBalance,ExportNoOfExportpartners,ExportNoOfExportproducts,ImportNoOfImportpartners,ImportNoOfImportproducts,TariffAgreement
2015,539264.27,238.00,4768.00,238.00,4862.00,1512.00
2014,660638.87,238.00,4768.00,238.00,4870.00,1432.00
2013,689400.21,239.00,4792.00,239.00,4873.00,1275.00
2012,596180.95,238.00,4824.00,238.00,4902.00,1284.00
2011,565275.94,235.00,4800.00,238.00,4904.00,1312.00
2010,480213.28,236.00,4845.00,236.00,4924.00,1293.00
2009,325196.79,235.00,4887.00,236.00,4938.00,1257.00
2008,308265.20,236.00,4918.00,236.00,4949.00,1340.00
2007,395928.71,236.00,4954.00,236.00,5010.00,847.00
2006,302421.72,234.00,4950.00,236.00,5010.00,818.00
2005,169827.95,238.00,4966.00,234.00,5020.00,670.00
2004,119468.36,237.00,4978.00,238.00,5023.00,528.00
2003,69719.39,238.00,4989.00,237.00,5022.00,413.00
2002,59435.70,237.00,4983.00,238.00,5031.00,403.00
2001,-19107.07,237.00,4993.00,238.00,5035.00,322.00
2000,11272.08,223.00,5020.00,237.00,5037.00,334.00
1999,78346.59,222.00,5028.00,223.00,5037.00,277.00
1998,118903.18,222.00,5033.00,222.00,5037.00,211.00
1997,140356.60,222.00,5034.00,222.00,5037.00,322.00
1996,122248.60,226.00,5036.00,222.00,5037.00,208.00
1995,137639.40,226.00,5037.00,226.00,5037.00,155.00
1994,119758.10,226.00,5037.00,226.00,5037.00,55.00
1993,113133.36,224.00,5037.00,226.00,5038.00,124.00
1992,94610.66,202.00,5038.00,224.00,5036.00,51.00
1991,3794.43,204.00,5036.00,203.00,5036.00,44.00
1990,-68123.59,203.00,5036.00,204.00,5036.00,45.00
1989,-78457.18,200.00,5035.00,201.00,5036.00,43.00
1988,-55793.97,200.00,5032.00,199.00,5035.00,38.00
